symbol,fundingRate,fundingRateTimestamp
GPSUSDT,5e-05,2025-05-07 20:00:00+0000
GPSUSDT,5e-05,2025-05-08 00:00:00+0000
GPSUSDT,5e-05,2025-05-08 04:00:00+0000
GPSUSDT,5e-05,2025-05-08 08:00:00+0000
GPSUSDT,5e-05,2025-05-08 12:00:00+0000
GPSUSDT,5e-05,2025-05-08 16:00:00+0000
GPSUSDT,5e-05,2025-05-08 20:00:00+0000
GPSUSDT,5e-05,2025-05-09 00:00:00+0000
GPSUSDT,5e-05,2025-05-09 04:00:00+0000
GPSUSDT,5e-05,2025-05-09 08:00:00+0000
GPSUSDT,5e-05,2025-05-09 12:00:00+0000
GPSUSDT,5e-05,2025-05-09 16:00:00+0000
GPSUSDT,5e-05,2025-05-09 20:00:00+0000
GPSUSDT,5e-05,2025-05-10 00:00:00+0000
GPSUSDT,5e-05,2025-05-10 04:00:00+0000
GPSUSDT,5e-05,2025-05-10 08:00:00+0000
GPSUSDT,5e-05,2025-05-10 12:00:00+0000
GPSUSDT,5e-05,2025-05-10 16:00:00+0000
GPSUSDT,5e-05,2025-05-10 20:00:00+0000
GPSUSDT,5e-05,2025-05-11 00:00:00+0000
GPSUSDT,5e-05,2025-05-11 04:00:00+0000
GPSUSDT,5e-05,2025-05-11 08:00:00+0000
GPSUSDT,5e-05,2025-05-11 12:00:00+0000
GPSUSDT,5e-05,2025-05-11 16:00:00+0000
GPSUSDT,5e-05,2025-05-11 20:00:00+0000
GPSUSDT,5e-05,2025-05-12 00:00:00+0000
GPSUSDT,5e-05,2025-05-12 04:00:00+0000
GPSUSDT,5e-05,2025-05-12 08:00:00+0000
GPSUSDT,5e-05,2025-05-12 12:00:00+0000
GPSUSDT,5e-05,2025-05-12 16:00:00+0000
GPSUSDT,5e-05,2025-05-12 20:00:00+0000
GPSUSDT,5e-05,2025-05-13 00:00:00+0000
GPSUSDT,5e-05,2025-05-13 04:00:00+0000
GPSUSDT,5e-05,2025-05-13 08:00:00+0000
GPSUSDT,5e-05,2025-05-13 12:00:00+0000
GPSUSDT,5e-05,2025-05-13 16:00:00+0000
GPSUSDT,5e-05,2025-05-13 20:00:00+0000
GPSUSDT,5e-05,2025-05-14 00:00:00+0000
GPSUSDT,5e-05,2025-05-14 04:00:00+0000
GPSUSDT,5e-05,2025-05-14 08:00:00+0000
GPSUSDT,5e-05,2025-05-14 12:00:00+0000
GPSUSDT,5e-05,2025-05-14 16:00:00+0000
GPSUSDT,5e-05,2025-05-14 20:00:00+0000
GPSUSDT,5e-05,2025-05-15 00:00:00+0000
GPSUSDT,5e-05,2025-05-15 04:00:00+0000
GPSUSDT,5e-05,2025-05-15 08:00:00+0000
GPSUSDT,5e-05,2025-05-15 12:00:00+0000
GPSUSDT,5e-05,2025-05-15 16:00:00+0000
GPSUSDT,5e-05,2025-05-15 20:00:00+0000
GPSUSDT,5e-05,2025-05-16 00:00:00+0000
